name,year,rating,m_score,votes
블랙 팬서,2018,7.3,88.0,810659
어벤져스: 인피니티 워,2018,8.4,68.0,1145058
Incredibles 2,2018,7.6,80.0,315156
Jurassic World: Fallen Kingdom,2018,6.1,,331258
아쿠아맨,2018,6.8,,498096
Deadpool 2,2018,7.6,66.0,614472
The Grinch,2018,6.4,,79049
미션 임파서블: 폴아웃,2018,7.7,86.0,360408
앤트맨과 와스프,2018,7.0,70.0,431622
Bohemian Rhapsody,2018,7.9,,563659
스타 이즈 본,2018,7.6,88.0,402766
한 솔로: 스타워즈 스토리,2018,6.9,62.0,365189
Venom,2018,6.6,,514486
Ralph Breaks the Internet,2018,7.0,71.0,173257
스파이더맨: 뉴 유니버스,2018,8.4,87.0,617932
콰이어트 플레이스,2018,7.5,82.0,557661
크레이지 리치 아시안,2018,6.9,74.0,182658
Mary Poppins Returns,2018,6.7,66.0,92244
Hotel Transylvania 3: Summer Vacation,2018,6.3,,80375
신비한 동물들과 그린델왈드의 범죄,2018,6.5,,296996
Halloween,2018,6.5,67.0,162024
The Meg,2018,5.6,,188684
Ocean's Eight,2018,6.3,61.0,232237
레디 플레이어 원,2018,7.4,64.0,461155
Bumblebee,2018,6.7,66.0,180496
Mamma Mia! Here We Go Again,2018,6.6,,102737
The Nun,2018,5.3,,150965
크리드 2,2018,7.1,66.0,148660
Peter Rabbit,2018,6.6,,45985
라스트 미션,2018,7.0,,146316
The Equalizer 2,2018,6.7,,172529
Rampage,2018,6.1,,178350
A Wrinkle in Time,2018,4.3,,46726
Fifty Shades Freed,2018,4.5,,70089
Christopher Robin,2018,7.2,,81703
그린 북,2018,8.2,69.0,529601
I Can Only Imagine,2018,7.3,,17252
Smallfoot,2018,6.6,,41673
나이트 스쿨,2018,5.6,,42946
The First Purge,2018,5.2,,67238
Game Night,2018,6.9,66.0,247112
Book Club,2018,6.1,,30982
The House with a Clock in Its Walls,2018,6.1,,53858
Skyscraper,2018,5.8,,128967
Insidious: The Last Key,2018,5.7,,66996
Instant Family,2018,7.3,,113892
Blockers,2018,6.2,69.0,82699
Pacific Rim: Uprising,2018,5.6,,122784
Tomb Raider,2018,6.3,,221220
Maze Runner: The Death Cure,2018,6.2,,152583
The Nutcracker and the Four Realms,2018,5.6,,35664
Tag,2018,6.5,,141486
A Simple Favor,2018,6.8,67.0,156723
Life of the Party,2018,5.6,,38444
The Predator,2018,5.3,,139104
Overboard,2018,6.0,,40201
Sicario: Day of the Soldado,2018,7.0,61.0,158353
BlacKkKlansman,2018,7.5,83.0,277519
I Feel Pretty,2018,5.6,,55849
Vice,2018,7.2,61.0,155581
Red Sparrow,2018,6.6,,194484
Goosebumps 2: Haunted Halloween,2018,5.6,,22559
Breaking In,2018,5.5,,16466
12 솔져스,2018,6.5,,87975
Den of Thieves,2018,7.0,,118905
First Man,2018,7.3,84.0,195875
유전,2018,7.3,87.0,349283
Acrimony,2018,5.9,,9591
Sherlock Gnomes,2018,5.2,,13391
Uncle Drew,2018,5.8,,15268
Widows,2018,6.8,84.0,101494
Truth or Dare,2018,5.2,,60051
"Love, Simon",2018,7.5,72.0,120788
Second Act,2018,5.8,,29279
The Commuter,2018,6.3,,121210
The 15:17 to Paris,2018,5.3,,34910
Mile 22,2018,6.1,,84171
Alpha,2018,6.6,63.0,64796
Peppermint,2018,6.5,,68085
The Favourite,2018,7.5,91.0,210696
Death Wish,2018,6.3,,74544
The Spy Who Dumped Me,2018,6.0,,80741
Annihilation,2018,6.8,79.0,345485
Isle of Dogs,2018,7.8,82.0,181628
Nobody's Fool,2018,5.0,,7929
Adrift,2018,6.6,,59707
Robin Hood,2018,5.3,,77144
Doragon bôru chô: Burorî,2018,7.7,,29993
Super Troopers 2,2018,6.0,,27712
Holmes & Watson,2018,3.9,,38204
Slender Man,2018,3.2,,36596
Teen Titans Go! To the Movies,2018,6.7,69.0,20843
The Hate U Give,2018,7.5,81.0,38639
In Like Flynn,2018,5.1,66.0,1313
Searching,2018,7.6,71.0,174661
Winchester,2018,5.4,,35707
세상을 바꾼 변호인,2018,7.1,,36767
The Strangers: Prey at Night,2018,5.2,,32969
White Boy Rick,2018,6.5,,40662
Won't You Be My Neighbor?,2018,8.3,85.0,26538
Overlord,2018,6.6,,103570
Proud Mary,2018,5.0,,10372
The Happytime Murders,2018,5.5,,29575
Superfly,2018,5.2,,7434
They Shall Not Grow Old,2018,8.2,91.0,36936
Bad Times at the El Royale,2018,7.1,,157890
Show Dogs,2018,3.9,,4934
오퍼레이션 피날레,2018,6.6,,46147
"Paul, Apostle of Christ",2018,6.6,,9356
Free Solo,2018,8.1,83.0,73362
Summer '03,2018,5.5,,3739
Sorry to Bother You,2018,6.9,80.0,84750
Mary Queen of Scots,2018,6.3,,53266
Forever My Girl,2018,6.6,,19879
Mortal Engines,2018,6.1,,133496
Hunter Killer,2018,6.6,,68360
If Beale Street Could Talk,2018,7.1,87.0,51132
The Girl in the Spider's Web,2018,6.1,,49897
포제션 오브 한나 그레이스,2018,5.2,,24582
RBG,2018,7.6,71.0,14739
Eighth Grade,2018,7.4,87.0,79972
The Darkest Minds,2018,5.7,,34464
Three Identical Strangers,2018,7.6,81.0,37721
Upgrade,2018,7.5,67.0,196608
Padmaavat,2018,7.0,63.0,35046
Mr. Smile,2018,6.7,80.0,48243
Hell Fest,2018,5.5,,18391
Welcome to Marwen,2018,6.2,,25137
Greta,2018,6.0,,36443
The Miracle Season,2018,6.5,,5962
Hotel Mumbai,2018,7.6,62.0,67902
Midnight Sun,2018,6.6,,34218
Tully,2018,6.9,75.0,61622
Traffik,2018,5.9,,21028
Can You Ever Forgive Me?,2018,7.1,87.0,54630
Unfriended: Dark Web,2018,6.0,,36040
Early Man,2018,6.1,68.0,23092
Higher Power,2018,4.4,,3706
Sanju,2018,7.6,,57673
Unsane,2018,6.4,63.0,48556
We Have Always Lived in the Castle,2018,5.6,63.0,8750
뷰티풀 보이,2018,7.3,62.0,89512
Mid90s,2018,7.3,66.0,73295
The Little Mermaid,2018,4.3,,9385
Dog Days,2018,6.2,,5325
Boy Erased,2018,6.9,69.0,40638
Hotel Artemis,2018,6.1,,56443
A-X-L,2018,5.3,,12806
Run the Race,2018,5.9,,1652
Fahrenheit 11/9,2018,7.2,69.0,20031
